,player_id,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
396,duranke01,Durant,Kevin,2009,West,NBA,1,20,15.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,14.0,7.0,0.0,0.0,3.0,1.0
397,eakinji01,Eakins,Jim,1973,East,ABA,1,21,2.0,0.0,4.0,4.0,4.0,2.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
416,englial01,English,Alex,1981,West,NBA,1,12,4.0,2.0,3.0,5.0,1.0,2.0,0.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0
427,ervinju01,Erving,Julius,1981,East,NBA,1,32,16.0,3.0,5.0,8.0,2.0,1.0,2.0,4.0,4.0,16.0,7.0,4.0,2.0,0.0,0.0
429,ervinju01,Erving,Julius,1972,East,ABA,1,30,22.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,4.0,16.0,8.0,8.0,6.0,0.0,0.0
430,ervinju01,Erving,Julius,1973,East,ABA,1,27,14.0,5.0,6.0,11.0,8.0,0.0,3.0,4.0,1.0,15.0,6.0,2.0,2.0,0.0,0.0
431,ervinju01,Erving,Julius,1974,East,ABA,1,27,21.0,3.0,4.0,7.0,7.0,2.0,1.0,3.0,4.0,12.0,6.0,10.0,8.0,1.0,1.0
445,finlemi01,Finley,Michael,2000,West,NBA,1,19,12.0,2.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,15.0,5.0,2.0,2.0,2.0,0.0
446,finlemi01,Finley,Michael,1999,West,NBA,1,10,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,2.0,1.0
457,francst01,Francis,Steve,2003,West,NBA,1,23,13.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,9.0,6.0,0.0,0.0,2.0,1.0
458,francst01,Francis,Steve,2002,West,NBA,1,32,20.0,1.0,1.0,2.0,9.0,0.0,0.0,3.0,1.0,12.0,9.0,0.0,0.0,3.0,2.0
459,francst01,Francis,Steve,2001,West,NBA,1,18,3.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,8.0,1.0,2.0,1.0,1.0,0.0
487,garneke01,Garnett,Kevin,2003,West,NBA,1,29,12.0,3.0,4.0,7.0,6.0,2.0,1.0,1.0,0.0,14.0,6.0,0.0,0.0,1.0,0.0
488,garneke01,Garnett,Kevin,2002,West,NBA,1,41,37.0,1.0,8.0,9.0,3.0,5.0,1.0,4.0,3.0,24.0,17.0,3.0,3.0,0.0,0.0
489,garneke01,Garnett,Kevin,2001,West,NBA,1,24,14.0,6.0,6.0,12.0,2.0,2.0,0.0,0.0,1.0,15.0,7.0,0.0,0.0,1.0,0.0
